word,round,agent_01,agent_02,agent_03,agent_04,agent_05,agent_06,agent_07,agent_08,agent_09,agent_10,mean,std,n_nonzero,pass
workers,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
gas,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
platform,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
chief,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
across,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
airlines,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
finds,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
trillion,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
continues,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
calls,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
concerns,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
closing,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
paying,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
freight,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
signs,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
came,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
leaves,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
historic,1,0,1,1,1,0,1,0,0,0,0,0.4,0.516,4,False
healthcare,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
odds,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
four,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
even,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
margin,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
months,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
salad,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
fiscal,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
raises,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
travel,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
insurance,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
linked,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
fourth,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
software,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
economists,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
performance,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
major,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
infrastructure,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
users,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
shopping,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
soars,1,3,3,3,3,3,3,4,3,3,3,3.1,0.316,10,True
called,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
equity,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
models,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
current,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
added,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
banks,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
exchange,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
behind,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
times,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
needed,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
consumers,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
drive,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
taking,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
curve,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
built,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
race,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
half,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
takes,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
parks,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
remains,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
electric,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
media,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
states,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
seven,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
led,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
cyclosporiasis,1,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2.1,0.316,10,True
overshadows,1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1.9,0.316,10,True
ends,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
starting,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
rout,1,-4,-4,-4,-3,-3,-4,-4,-4,-4,-4,-3.8,0.422,10,True
indexes,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
records,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
daily,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
doubles,2,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
buildout,2,0,1,1,1,1,0,0,1,1,1,0.7,0.483,7,True
planned,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
steps,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
imports,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
shakes,2,-1,-2,-1,-1,-1,-1,-1,-1,-1,-2,-1.2,0.422,10,True
tap,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
projects,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
minister,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
input,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
keeps,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
within,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
mixed,2,0,-1,-1,-1,-1,-1,0,0,0,-1,-0.6,0.516,6,True
system,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
finances,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
made,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
surges,2,3,4,4,4,4,4,3,4,4,4,3.8,0.422,10,True
breaks,2,-1,-2,-1,-1,-2,-1,-1,-1,-1,-2,-1.3,0.483,10,True
heading,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
metal,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
selling,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
founder,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
trying,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
wave,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
points,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
claims,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
found,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
memory,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
watching,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
families,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
auto,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
following,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
buys,2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
governor,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
merger,2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
coming,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
disrupting,2,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1.1,0.316,10,True
chains,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
environment,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
monetary,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
six,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
suppliers,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
slowest,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
decades,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
accelerates,2,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10,True
reasons,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
cools,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
members,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
soaring,2,3,4,4,4,4,4,4,4,4,4,3.9,0.316,10,True
mind,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
extending,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
speculators,2,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-0.9,0.316,9,True
investments,2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
offers,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stakes,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
officials,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
study,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stance,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
cyclospora,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
discovery,2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
proposed,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
prior,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
store,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
sees,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
versus,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
widens,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
pickup,2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
start,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
urges,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
together,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
miners,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
away,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
setting,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
going,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
eye,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
tank,2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-3,-2.2,0.422,10,True
stages,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
bet,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
biggest,2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
float,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
interview,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
stack,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
allies,2,0,0,1,0,0,0,0,1,1,1,0.4,0.516,4,False
slips,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
palantir,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
priced,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
got,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
funds,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
brother,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
asked,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
minutes,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
futures,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
proposal,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
unveils,2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
margins,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
slides,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
ratings,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
pace,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
reserves,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
intensifies,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
names,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
startup,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
diplomacy,2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
takeaways,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
means,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
sanctions,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
heads,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
positions,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
projected,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
jumped,2,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
overnight,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
seeing,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
agents,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
cheapest,2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
class,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
executives,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
savings,2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
commerce,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
valuation,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
film,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
macroeconomic,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
brands,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
though,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
working,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
chips,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
virginia,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
tier,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
driving,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
numbers,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
slowed,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10,True
levels,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
adding,2,1,1,0,1,1,1,0,1,1,0,0.7,0.483,7,True
measures,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
inventories,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
horizon,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
partners,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
used,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
family,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
soccer,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
tournament,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
broader,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
brief,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
annually,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
staying,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
movies,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
video,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
defining,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
mulls,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
politics,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
air,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
conditioners,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
slightly,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
fewer,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
related,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
copper,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
jumps,2,3,3,3,3,3,3,3,3,3,3,3.0,0.0,10,True
positioned,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
majority,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
voted,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
meetings,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
drugs,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
employers,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
dollars,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
compliance,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
diesel,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
started,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
tourism,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
front,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
pre,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
startups,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
earlier,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
joined,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
experts,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
ongoing,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
segment,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
platforms,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
conglomerate,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
refunds,2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-0.9,0.316,9,True
another,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
making,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
sinks,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3.0,0.0,10,True
economics,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
updated,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
bell,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
elite,2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10,True
flyers,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
tool,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
items,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
players,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
league,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
rights,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
billionaires,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
ties,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
nations,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
something,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
eight,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
majors,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
booming,2,3,3,3,4,4,4,3,3,3,4,3.4,0.516,10,True
social,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
capitalization,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
netflix,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
trader,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
taxed,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10,True
sets,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
sellers,2,0,0,-1,0,0,0,-1,0,-1,0,-0.3,0.483,3,False
representing,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
publicly,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
tradable,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
places,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
showing,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,False
