word,agent_01,agent_02,agent_03,agent_04,agent_05,agent_06,agent_07,agent_08,agent_09,agent_10,mean,std,n_nonzero
latest,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
hedge,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
according,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
traffic,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
faces,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10
hikes,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-0.8,0.422,8
driven,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
meeting,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
third,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
truck,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
firms,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
returns,1,1,1,1,0,1,1,1,1,1,0.9,0.316,9
weekly,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
slows,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10
maker,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
chain,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
told,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
yields,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
wants,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
bigger,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10
survey,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
tariffs,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10
days,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
highs,2,2,2,2,2,2,2,2,2,2,2.0,0.0,10
bets,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
advertising,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
sold,0,0,0,0,0,0,-1,0,0,0,-0.1,0.316,1
options,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
bonds,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
dents,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10
administration,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
decade,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
poll,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
saw,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
workers,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
gas,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
platform,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
chief,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
across,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
airlines,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
finds,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trillion,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
continues,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
calls,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
concerns,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2.0,0.0,10
closing,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
paying,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
freight,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
signs,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
came,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
leaves,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
historic,0,1,1,1,0,1,0,0,0,0,0.4,0.516,4
healthcare,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
odds,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
four,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
even,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
margin,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
months,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
salad,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
fiscal,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
raises,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10
travel,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
insurance,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
linked,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
fourth,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
software,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
economists,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
performance,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
major,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
infrastructure,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
users,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
shopping,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
soars,3,3,3,3,3,3,4,3,3,3,3.1,0.316,10
called,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
equity,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
models,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
current,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
added,1,1,1,1,1,1,1,1,1,1,1.0,0.0,10
banks,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
exchange,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
behind,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,10
times,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
needed,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
consumers,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
drive,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
taking,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
curve,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
built,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
race,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
half,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
takes,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
parks,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
remains,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
electric,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
media,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
states,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
seven,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
led,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
cyclosporiasis,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-2.1,0.316,10
overshadows,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1.9,0.316,10
ends,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
starting,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
rout,-4,-4,-4,-3,-3,-4,-4,-4,-4,-4,-3.8,0.422,10
