term,valence,source
greater,1.5,henry
greatest,1.5,henry
grew,1.5,henry
grow,1.5,henry
growing,1.5,henry
grown,1.5,henry
grows,1.5,henry
growth,1.5,henry
high,1.5,henry
higher,1.5,henry
highest,1.5,henry
hurdle,-1.5,henry
hurdles,-1.5,henry
improve,1.5,henry
improved,1.5,henry
improvement,1.5,henry
improvements,1.5,henry
improves,1.5,henry
improving,1.5,henry
increase,1.5,henry
increased,1.5,henry
increases,1.5,henry
increasing,1.5,henry
larger,1.5,henry
largest,1.5,henry
leader,1.5,henry
leading,1.5,henry
least,-1.5,henry
less,-1.5,henry
low,-1.5,henry
lower,-1.5,henry
lowest,-1.5,henry
more,1.5,henry
most,1.5,henry
negative,-1.5,henry
negatives,-1.5,henry
obstacle,-1.5,henry
obstacles,-1.5,henry
opportunities,1.5,henry
opportunity,1.5,henry
penalties,-1.5,henry
penalty,-1.5,henry
pleased,1.5,henry
positive,1.5,henry
positives,1.5,henry
progress,1.5,henry
progressing,1.5,henry
record,1.5,henry
reward,1.5,henry
rewarded,1.5,henry
rewarding,1.5,henry
rewards,1.5,henry
rise,1.5,henry
risen,1.5,henry
rises,1.5,henry
rising,1.5,henry
risk,-1.5,henry
risks,-1.5,henry
risky,-1.5,henry
rose,1.5,henry
shrink,-1.5,henry
shrinking,-1.5,henry
shrinks,-1.5,henry
shrunk,-1.5,henry
slump,-1.5,henry
slumped,-1.5,henry
slumping,-1.5,henry
slumps,-1.5,henry
smaller,-1.5,henry
smallest,-1.5,henry
solid,1.5,henry
strength,1.5,henry
strengthen,1.5,henry
strengthened,1.5,henry
strengthening,1.5,henry
strengthens,1.5,henry
strengths,1.5,henry
strong,1.5,henry
stronger,1.5,henry
strongest,1.5,henry
succeed,1.5,henry
succeeded,1.5,henry
succeeding,1.5,henry
succeeds,1.5,henry
success,1.5,henry
successes,1.5,henry
successful,1.5,henry
threat,-1.5,henry
threats,-1.5,henry
uncertain,-1.5,henry
uncertainty,-1.5,henry
under,-1.5,henry
unfavorable,-1.5,henry
unsettled,-1.5,henry
up,1.5,henry
weak,-1.5,henry
weaken,-1.5,henry
weakened,-1.5,henry
weakening,-1.5,henry
weakens,-1.5,henry
weakness,-1.5,henry
weaknesses,-1.5,henry
worse,-1.5,henry
worsen,-1.5,henry
worsening,-1.5,henry
worsens,-1.5,henry
worst,-1.5,henry
abandon,-0.05,sentibignomics_x0.1
abandonment,-0.06,sentibignomics_x0.1
abate,-0.02,sentibignomics_x0.1
abatement,0.0,sentibignomics_x0.1
abdicate,-0.02,sentibignomics_x0.1
abdication,-0.025,sentibignomics_x0.1
aberrant,-0.04,sentibignomics_x0.1
aberration,-0.045,sentibignomics_x0.1
aberrational,-0.025,sentibignomics_x0.1
abet,-0.035,sentibignomics_x0.1
abeyance,-0.05,sentibignomics_x0.1
abeyances,-0.03,sentibignomics_x0.1
abide,0.02,sentibignomics_x0.1
ability,0.01,sentibignomics_x0.1
abject,-0.015,sentibignomics_x0.1
able,0.03,sentibignomics_x0.1
abnormal,-0.03,sentibignomics_x0.1
abnormality,-0.025,sentibignomics_x0.1
abnormally,-0.03,sentibignomics_x0.1
abolish,-0.025,sentibignomics_x0.1
abort,-0.05,sentibignomics_x0.1
aborted,-0.045,sentibignomics_x0.1
abortive,-0.05,sentibignomics_x0.1
abound,0.045,sentibignomics_x0.1
abovementioned,0.0,sentibignomics_x0.1
abreast,0.025,sentibignomics_x0.1
abrogate,-0.01,sentibignomics_x0.1
abrogation,-0.035,sentibignomics_x0.1
abrupt,-0.03,sentibignomics_x0.1
abruptly,-0.02,sentibignomics_x0.1
abruptness,-0.04,sentibignomics_x0.1
absence,-0.03,sentibignomics_x0.1
absent,-0.025,sentibignomics_x0.1
absenteeism,-0.04,sentibignomics_x0.1
absolute,0.02,sentibignomics_x0.1
absolve,0.01,sentibignomics_x0.1
absorb,0.03,sentibignomics_x0.1
absorption,0.025,sentibignomics_x0.1
abstain,0.0,sentibignomics_x0.1
absurd,-0.045,sentibignomics_x0.1
absurdity,-0.04,sentibignomics_x0.1
abundance,0.075,sentibignomics_x0.1
abundant,0.075,sentibignomics_x0.1
abuse,-0.045,sentibignomics_x0.1
abused,-0.09,sentibignomics_x0.1
abusive,-0.07,sentibignomics_x0.1
abusively,-0.08,sentibignomics_x0.1
abusiveness,-0.07,sentibignomics_x0.1
abuzz,0.04,sentibignomics_x0.1
abysmal,-0.055,sentibignomics_x0.1
abyss,-0.045,sentibignomics_x0.1
accelerate,0.06,sentibignomics_x0.1
accelerated,0.06,sentibignomics_x0.1
acceleration,0.05,sentibignomics_x0.1
accentuate,0.035,sentibignomics_x0.1
accept,0.035,sentibignomics_x0.1
acceptable,0.045,sentibignomics_x0.1
acceptance,0.035,sentibignomics_x0.1
access,0.03,sentibignomics_x0.1
accessibility,0.05,sentibignomics_x0.1
accessible,0.04,sentibignomics_x0.1
accession,0.02,sentibignomics_x0.1
accident,-0.03,sentibignomics_x0.1
accidental,-0.025,sentibignomics_x0.1
accidentally,-0.04,sentibignomics_x0.1
acclaim,0.065,sentibignomics_x0.1
acclaimed,0.05,sentibignomics_x0.1
accolade,0.05,sentibignomics_x0.1
accommodate,0.045,sentibignomics_x0.1
accommodative,0.055,sentibignomics_x0.1
accompany,0.0,sentibignomics_x0.1
accomplice,-0.03,sentibignomics_x0.1
accord,0.03,sentibignomics_x0.1
accordance,0.025,sentibignomics_x0.1
account,0.0,sentibignomics_x0.1
accountability,0.04,sentibignomics_x0.1
accountable,0.04,sentibignomics_x0.1
accredit,0.045,sentibignomics_x0.1
accrue,0.05,sentibignomics_x0.1
accumulate,0.035,sentibignomics_x0.1
accuracy,0.095,sentibignomics_x0.1
accurate,0.05,sentibignomics_x0.1
accusation,-0.03,sentibignomics_x0.1
accuse,-0.02,sentibignomics_x0.1
accustom,0.02,sentibignomics_x0.1
achievable,0.045,sentibignomics_x0.1
acid,-0.03,sentibignomics_x0.1
acknowledge,0.05,sentibignomics_x0.1
acknowledgment,0.065,sentibignomics_x0.1
acquiesce,-0.015,sentibignomics_x0.1
acquire,0.065,sentibignomics_x0.1
acquirees,0.0,sentibignomics_x0.1
acquirer,0.0,sentibignomics_x0.1
acquit,0.015,sentibignomics_x0.1
acquittal,0.0,sentibignomics_x0.1
acquittance,0.015,sentibignomics_x0.1
acquittances,0.01,sentibignomics_x0.1
acrimonious,-0.05,sentibignomics_x0.1
act,0.005,sentibignomics_x0.1
action,0.03,sentibignomics_x0.1
activate,0.04,sentibignomics_x0.1
active,0.035,sentibignomics_x0.1
activity,0.03,sentibignomics_x0.1
actual,0.01,sentibignomics_x0.1
acumen,0.055,sentibignomics_x0.1
acute,-0.025,sentibignomics_x0.1
adamant,0.06,sentibignomics_x0.1
adaptation,0.04,sentibignomics_x0.1
adaptive,0.07,sentibignomics_x0.1
add,0.04,sentibignomics_x0.1
addendum,0.0,sentibignomics_x0.1
addict,-0.05,sentibignomics_x0.1
addiction,-0.05,sentibignomics_x0.1
addictive,-0.035,sentibignomics_x0.1
addition,0.03,sentibignomics_x0.1
additional,0.04,sentibignomics_x0.1
addled,-0.035,sentibignomics_x0.1
adept,0.04,sentibignomics_x0.1
adequacy,0.02,sentibignomics_x0.1
adequate,0.02,sentibignomics_x0.1
adequately,0.03,sentibignomics_x0.1
adhere,0.01,sentibignomics_x0.1
adherence,0.035,sentibignomics_x0.1
adjoin,0.02,sentibignomics_x0.1
adjourn,0.0,sentibignomics_x0.1
adjournment,0.0,sentibignomics_x0.1
adjudge,0.0,sentibignomics_x0.1
adjudicate,0.0,sentibignomics_x0.1
adjudication,0.0,sentibignomics_x0.1
adjudicative,0.0,sentibignomics_x0.1
adjudicator,0.0,sentibignomics_x0.1
adjudicatory,0.0,sentibignomics_x0.1
adjunct,0.005,sentibignomics_x0.1
adjust,0.02,sentibignomics_x0.1
adjustable,0.035,sentibignomics_x0.1
adjustment,0.005,sentibignomics_x0.1
admirable,0.05,sentibignomics_x0.1
admire,0.035,sentibignomics_x0.1
admired,0.07,sentibignomics_x0.1
admirer,0.035,sentibignomics_x0.1
admissibility,0.02,sentibignomics_x0.1
admissible,0.02,sentibignomics_x0.1
admissibly,0.015,sentibignomics_x0.1
admission,0.03,sentibignomics_x0.1
admonish,-0.02,sentibignomics_x0.1
adopter,0.01,sentibignomics_x0.1
adore,0.06,sentibignomics_x0.1
adorn,0.05,sentibignomics_x0.1
adrift,-0.03,sentibignomics_x0.1
adroit,0.025,sentibignomics_x0.1
adulterate,-0.04,sentibignomics_x0.1
adulteration,-0.06,sentibignomics_x0.1
advance,0.06,sentibignomics_x0.1
advanced,0.05,sentibignomics_x0.1
advancement,0.055,sentibignomics_x0.1
advantage,0.075,sentibignomics_x0.1
advantageous,0.08,sentibignomics_x0.1
advantageously,0.07,sentibignomics_x0.1
advent,0.0,sentibignomics_x0.1
adventurous,0.07,sentibignomics_x0.1
adversarial,-0.065,sentibignomics_x0.1
adversary,-0.035,sentibignomics_x0.1
adverse,-0.03,sentibignomics_x0.1
adversely,-0.065,sentibignomics_x0.1
adversity,-0.045,sentibignomics_x0.1
advice,0.03,sentibignomics_x0.1
advise,0.02,sentibignomics_x0.1
affair,-0.01,sentibignomics_x0.1
affect,0.0,sentibignomics_x0.1
affection,0.065,sentibignomics_x0.1
affectionate,0.055,sentibignomics_x0.1
affidavit,-0.01,sentibignomics_x0.1
affirm,0.04,sentibignomics_x0.1
affirmative,0.05,sentibignomics_x0.1
afflict,-0.025,sentibignomics_x0.1
affluent,0.08,sentibignomics_x0.1
afford,0.05,sentibignomics_x0.1
affordability,0.075,sentibignomics_x0.1
affordable,0.06,sentibignomics_x0.1
aforementioned,0.0,sentibignomics_x0.1
aforesaid,0.0,sentibignomics_x0.1
afraid,-0.05,sentibignomics_x0.1
aftermath,-0.035,sentibignomics_x0.1
aftershock,-0.065,sentibignomics_x0.1
against,-0.025,sentibignomics_x0.1
aged,-0.035,sentibignomics_x0.1
aggravate,-0.04,sentibignomics_x0.1
aggravation,-0.04,sentibignomics_x0.1
aggregate,-0.025,sentibignomics_x0.1
aggression,-0.025,sentibignomics_x0.1
aggressive,-0.045,sentibignomics_x0.1
aggrieve,-0.06,sentibignomics_x0.1
aghast,-0.055,sentibignomics_x0.1
agile,0.03,sentibignomics_x0.1
agility,0.055,sentibignomics_x0.1
aging,-0.025,sentibignomics_x0.1
agitate,-0.06,sentibignomics_x0.1
agonize,-0.065,sentibignomics_x0.1
agonizing,-0.045,sentibignomics_x0.1
agony,-0.075,sentibignomics_x0.1
agree,0.065,sentibignomics_x0.1
agreeable,0.05,sentibignomics_x0.1
agreement,0.05,sentibignomics_x0.1
agricultural,0.0,sentibignomics_x0.1
aid,0.06,sentibignomics_x0.1
ail,-0.045,sentibignomics_x0.1
ailing,-0.03,sentibignomics_x0.1
ailment,-0.025,sentibignomics_x0.1
aim,0.0,sentibignomics_x0.1
akin,0.0,sentibignomics_x0.1
alarm,-0.015,sentibignomics_x0.1
alarmed,-0.03,sentibignomics_x0.1
alarming,-0.035,sentibignomics_x0.1
alcohol,0.0,sentibignomics_x0.1
alert,-0.02,sentibignomics_x0.1
alien,-0.015,sentibignomics_x0.1
alienate,-0.065,sentibignomics_x0.1
alienation,-0.045,sentibignomics_x0.1
align,0.02,sentibignomics_x0.1
alignment,0.04,sentibignomics_x0.1
alive,0.05,sentibignomics_x0.1
allegation,-0.025,sentibignomics_x0.1
allege,0.0,sentibignomics_x0.1
allegedly,0.0,sentibignomics_x0.1
allegiance,0.04,sentibignomics_x0.1
alleviate,0.03,sentibignomics_x0.1
alliance,0.04,sentibignomics_x0.1
allocate,0.02,sentibignomics_x0.1
allocation,0.02,sentibignomics_x0.1
allot,0.02,sentibignomics_x0.1
allow,0.025,sentibignomics_x0.1
allowable,0.02,sentibignomics_x0.1
allowance,0.04,sentibignomics_x0.1
alluring,0.045,sentibignomics_x0.1
ally,0.005,sentibignomics_x0.1
almighty,0.065,sentibignomics_x0.1
almost,0.0,sentibignomics_x0.1
aloof,-0.01,sentibignomics_x0.1
alteration,0.0,sentibignomics_x0.1
altered,0.0,sentibignomics_x0.1
alternate,0.005,sentibignomics_x0.1
alternative,0.02,sentibignomics_x0.1
always,0.0,sentibignomics_x0.1
amalgamate,0.0,sentibignomics_x0.1
amass,0.025,sentibignomics_x0.1
amateur,-0.025,sentibignomics_x0.1
amateurish,-0.045,sentibignomics_x0.1
amazed,0.065,sentibignomics_x0.1
amazement,0.06,sentibignomics_x0.1
amazing,0.075,sentibignomics_x0.1
ambiguity,-0.015,sentibignomics_x0.1
ambiguous,-0.01,sentibignomics_x0.1
ambition,0.07,sentibignomics_x0.1
ambitious,0.065,sentibignomics_x0.1
ambush,-0.065,sentibignomics_x0.1
ameliorate,0.04,sentibignomics_x0.1
amenable,0.06,sentibignomics_x0.1
amend,0.04,sentibignomics_x0.1
amendable,0.045,sentibignomics_x0.1
amendment,0.015,sentibignomics_x0.1
amenity,0.04,sentibignomics_x0.1
amiable,0.07,sentibignomics_x0.1
amicable,0.04,sentibignomics_x0.1
ammunition,0.04,sentibignomics_x0.1
amoral,-0.035,sentibignomics_x0.1
amortization,-0.01,sentibignomics_x0.1
amortize,0.015,sentibignomics_x0.1
amount,0.0,sentibignomics_x0.1
ample,0.06,sentibignomics_x0.1
amplify,0.05,sentibignomics_x0.1
amusement,0.035,sentibignomics_x0.1
amusing,0.04,sentibignomics_x0.1
anachronism,-0.03,sentibignomics_x0.1
anachronistic,0.0,sentibignomics_x0.1
anarchic,-0.045,sentibignomics_x0.1
anathema,-0.04,sentibignomics_x0.1
ancillary,0.005,sentibignomics_x0.1
anecdotal,-0.045,sentibignomics_x0.1
anemic,-0.035,sentibignomics_x0.1
anger,-0.05,sentibignomics_x0.1
angry,-0.05,sentibignomics_x0.1
angst,-0.04,sentibignomics_x0.1
anguish,-0.055,sentibignomics_x0.1
animate,0.035,sentibignomics_x0.1
annex,0.06,sentibignomics_x0.1
annihilate,-0.06,sentibignomics_x0.1
announce,0.0,sentibignomics_x0.1
annoy,-0.03,sentibignomics_x0.1
annoyance,-0.025,sentibignomics_x0.1
annual,0.0,sentibignomics_x0.1
annualize,0.0,sentibignomics_x0.1
annul,-0.02,sentibignomics_x0.1
annulment,-0.04,sentibignomics_x0.1
anomalous,-0.01,sentibignomics_x0.1
anomalously,-0.005,sentibignomics_x0.1
anomaly,-0.02,sentibignomics_x0.1
antagonize,-0.04,sentibignomics_x0.1
antecedent,0.0,sentibignomics_x0.1
antibody,0.015,sentibignomics_x0.1
anticipate,0.025,sentibignomics_x0.1
anticipation,0.01,sentibignomics_x0.1
anticompetitive,-0.005,sentibignomics_x0.1
anticorruption,0.035,sentibignomics_x0.1
antidote,0.075,sentibignomics_x0.1
antidumping,0.03,sentibignomics_x0.1
antiquated,-0.02,sentibignomics_x0.1
antique,0.005,sentibignomics_x0.1
antitrust,-0.025,sentibignomics_x0.1
anxiety,-0.055,sentibignomics_x0.1
anxious,-0.02,sentibignomics_x0.1
apathy,-0.04,sentibignomics_x0.1
apex,0.025,sentibignomics_x0.1
aplomb,0.045,sentibignomics_x0.1
apologize,0.02,sentibignomics_x0.1
apology,0.0,sentibignomics_x0.1
appall,-0.05,sentibignomics_x0.1
appalling,-0.04,sentibignomics_x0.1
apparent,0.005,sentibignomics_x0.1
apparently,0.005,sentibignomics_x0.1
appeal,0.03,sentibignomics_x0.1
appealable,0.01,sentibignomics_x0.1
appear,0.01,sentibignomics_x0.1
appease,0.03,sentibignomics_x0.1
appellant,0.0,sentibignomics_x0.1
appellate,0.0,sentibignomics_x0.1
appellees,0.0,sentibignomics_x0.1
appetite,0.0,sentibignomics_x0.1
applaud,0.035,sentibignomics_x0.1
applause,0.045,sentibignomics_x0.1
apply,0.0,sentibignomics_x0.1
appreciable,0.035,sentibignomics_x0.1
appreciate,0.055,sentibignomics_x0.1
appreciation,0.055,sentibignomics_x0.1
appreciative,0.06,sentibignomics_x0.1
apprehend,0.0,sentibignomics_x0.1
apprehension,0.005,sentibignomics_x0.1
apprehensive,-0.035,sentibignomics_x0.1
approach,0.0,sentibignomics_x0.1
appropriate,0.06,sentibignomics_x0.1
appropriation,0.0,sentibignomics_x0.1
approval,0.04,sentibignomics_x0.1
approve,0.045,sentibignomics_x0.1
approximate,0.005,sentibignomics_x0.1
approximately,0.0,sentibignomics_x0.1
approximation,0.01,sentibignomics_x0.1
appurtenance,0.0,sentibignomics_x0.1
appurtenant,0.0,sentibignomics_x0.1
apt,-0.005,sentibignomics_x0.1
arbitral,0.0,sentibignomics_x0.1
arbitrarily,-0.01,sentibignomics_x0.1
arbitrariness,-0.025,sentibignomics_x0.1
arbitrary,-0.03,sentibignomics_x0.1
arbitrate,0.01,sentibignomics_x0.1
arbitration,0.0,sentibignomics_x0.1
arbitrator,0.0,sentibignomics_x0.1
arcane,0.0,sentibignomics_x0.1
archaic,-0.055,sentibignomics_x0.1
ardent,0.06,sentibignomics_x0.1
arduous,-0.05,sentibignomics_x0.1
argue,-0.015,sentibignomics_x0.1
argument,-0.03,sentibignomics_x0.1
argumentative,-0.025,sentibignomics_x0.1
arid,-0.005,sentibignomics_x0.1
arise,0.025,sentibignomics_x0.1
armor,0.025,sentibignomics_x0.1
armored,0.045,sentibignomics_x0.1
arouse,0.05,sentibignomics_x0.1
array,0.0,sentibignomics_x0.1
arrear,-0.025,sentibignomics_x0.1
arrearage,-0.02,sentibignomics_x0.1
arrest,-0.04,sentibignomics_x0.1
arrogance,-0.04,sentibignomics_x0.1
arrogant,-0.065,sentibignomics_x0.1
art,0.015,sentibignomics_x0.1
artificial,-0.045,sentibignomics_x0.1
artificially,-0.025,sentibignomics_x0.1
ascend,0.05,sentibignomics_x0.1
ascendancy,0.035,sentibignomics_x0.1
ascendant,0.04,sentibignomics_x0.1
ascent,0.055,sentibignomics_x0.1
ashamed,-0.06,sentibignomics_x0.1
ask,0.0,sentibignomics_x0.1
aspiration,0.06,sentibignomics_x0.1
aspirational,0.065,sentibignomics_x0.1
aspiring,0.035,sentibignomics_x0.1
assail,-0.045,sentibignomics_x0.1
assault,-0.065,sentibignomics_x0.1
assemble,0.035,sentibignomics_x0.1
assert,0.02,sentibignomics_x0.1
assertable,0.025,sentibignomics_x0.1
assertion,0.01,sentibignomics_x0.1
assertive,0.025,sentibignomics_x0.1
asset,0.05,sentibignomics_x0.1
assignation,0.0,sentibignomics_x0.1
assignment,0.02,sentibignomics_x0.1
associated,0.0,sentibignomics_x0.1
assorted,0.005,sentibignomics_x0.1
assuage,0.025,sentibignomics_x0.1
assume,0.0,sentibignomics_x0.1
assumption,0.0,sentibignomics_x0.1
assure,0.035,sentibignomics_x0.1
assured,0.035,sentibignomics_x0.1
astonish,0.045,sentibignomics_x0.1
astonishing,0.055,sentibignomics_x0.1
astonishment,0.045,sentibignomics_x0.1
astounding,0.075,sentibignomics_x0.1
astute,0.035,sentibignomics_x0.1
atomic,0.0,sentibignomics_x0.1
atrocious,-0.06,sentibignomics_x0.1
atrophy,-0.03,sentibignomics_x0.1
attain,0.055,sentibignomics_x0.1
attainable,0.045,sentibignomics_x0.1
attainment,0.03,sentibignomics_x0.1
attempt,0.035,sentibignomics_x0.1
attend,0.02,sentibignomics_x0.1
attention,0.05,sentibignomics_x0.1
attentive,0.05,sentibignomics_x0.1
attest,0.0,sentibignomics_x0.1
attestation,0.0,sentibignomics_x0.1
attorney,0.0,sentibignomics_x0.1
attornment,0.0,sentibignomics_x0.1
attorns,0.0,sentibignomics_x0.1
attract,0.055,sentibignomics_x0.1
attraction,0.06,sentibignomics_x0.1
attractive,0.065,sentibignomics_x0.1
attractiveness,0.065,sentibignomics_x0.1
attributable,0.03,sentibignomics_x0.1
attribute,0.01,sentibignomics_x0.1
attrition,-0.01,sentibignomics_x0.1
attune,0.035,sentibignomics_x0.1
attuned,0.02,sentibignomics_x0.1
atypical,0.0,sentibignomics_x0.1
audacious,0.01,sentibignomics_x0.1
audit,-0.015,sentibignomics_x0.1
augment,0.035,sentibignomics_x0.1
augur,0.0,sentibignomics_x0.1
aura,0.005,sentibignomics_x0.1
auspicious,0.045,sentibignomics_x0.1
austere,-0.005,sentibignomics_x0.1
austerity,0.0,sentibignomics_x0.1
authentic,0.06,sentibignomics_x0.1
authoritarian,0.0,sentibignomics_x0.1
authority,0.0,sentibignomics_x0.1
autocratic,-0.04,sentibignomics_x0.1
automate,0.05,sentibignomics_x0.1
automobile,0.0,sentibignomics_x0.1
automotive,0.0,sentibignomics_x0.1
autonomous,0.015,sentibignomics_x0.1
autonomy,0.04,sentibignomics_x0.1
auxiliary,0.045,sentibignomics_x0.1
availability,0.06,sentibignomics_x0.1
available,0.03,sentibignomics_x0.1
avalanche,-0.05,sentibignomics_x0.1
avaricious,-0.06,sentibignomics_x0.1
average,0.0,sentibignomics_x0.1
averse,-0.035,sentibignomics_x0.1
aversion,-0.05,sentibignomics_x0.1
avert,0.015,sentibignomics_x0.1
avid,0.045,sentibignomics_x0.1
avoid,-0.025,sentibignomics_x0.1
avoidable,0.01,sentibignomics_x0.1
avoidance,-0.035,sentibignomics_x0.1
await,0.0,sentibignomics_x0.1
awake,0.02,sentibignomics_x0.1
awakening,0.035,sentibignomics_x0.1
award,0.05,sentibignomics_x0.1
aware,0.04,sentibignomics_x0.1
awareness,0.045,sentibignomics_x0.1
awash,-0.02,sentibignomics_x0.1
awe,0.055,sentibignomics_x0.1
awesome,0.095,sentibignomics_x0.1
awful,-0.05,sentibignomics_x0.1
awkward,-0.035,sentibignomics_x0.1
back,0.0,sentibignomics_x0.1
backbone,0.04,sentibignomics_x0.1
backbreaking,-0.06,sentibignomics_x0.1
backdate,-0.02,sentibignomics_x0.1
backdrop,0.0,sentibignomics_x0.1
backer,0.04,sentibignomics_x0.1
backfire,-0.075,sentibignomics_x0.1
background,0.0,sentibignomics_x0.1
backlash,-0.05,sentibignomics_x0.1
backlog,-0.03,sentibignomics_x0.1
backtrack,-0.03,sentibignomics_x0.1
backup,0.035,sentibignomics_x0.1
backward,-0.04,sentibignomics_x0.1
bad,-0.04,sentibignomics_x0.1
baffle,-0.04,sentibignomics_x0.1
baffling,-0.045,sentibignomics_x0.1
bail,-0.025,sentibignomics_x0.1
bailee,0.0,sentibignomics_x0.1
bailiff,0.0,sentibignomics_x0.1
bailment,0.0,sentibignomics_x0.1
bailout,-0.045,sentibignomics_x0.1
bait,-0.02,sentibignomics_x0.1
baking,0.0,sentibignomics_x0.1
balance,0.05,sentibignomics_x0.1
balanced,0.035,sentibignomics_x0.1
bald,-0.02,sentibignomics_x0.1
balk,-0.03,sentibignomics_x0.1
ban,-0.045,sentibignomics_x0.1
bandit,-0.045,sentibignomics_x0.1
bane,-0.035,sentibignomics_x0.1
bang,0.035,sentibignomics_x0.1
banish,-0.04,sentibignomics_x0.1
bank,0.0,sentibignomics_x0.1
bankable,0.07,sentibignomics_x0.1
bankroll,0.055,sentibignomics_x0.1
bankrupt,-0.09,sentibignomics_x0.1
bankruptcy,-0.09,sentibignomics_x0.1
bar,0.0,sentibignomics_x0.1
barbaric,-0.065,sentibignomics_x0.1
bare,-0.025,sentibignomics_x0.1
bargain,0.045,sentibignomics_x0.1
bargaining,0.04,sentibignomics_x0.1
barge,-0.03,sentibignomics_x0.1
barrage,-0.035,sentibignomics_x0.1
barren,-0.03,sentibignomics_x0.1
barricade,-0.02,sentibignomics_x0.1
barrier,-0.04,sentibignomics_x0.1
base,0.0,sentibignomics_x0.1
baseless,-0.04,sentibignomics_x0.1
bash,-0.03,sentibignomics_x0.1
basic,0.0,sentibignomics_x0.1
batten,0.0,sentibignomics_x0.1
batter,-0.03,sentibignomics_x0.1
battered,-0.055,sentibignomics_x0.1
battering,-0.065,sentibignomics_x0.1
battle,-0.04,sentibignomics_x0.1
battlefield,-0.035,sentibignomics_x0.1
battleground,-0.035,sentibignomics_x0.1
be,0.0,sentibignomics_x0.1
bear,-0.015,sentibignomics_x0.1
bearer,0.0,sentibignomics_x0.1
beast,-0.045,sentibignomics_x0.1
beautiful,0.065,sentibignomics_x0.1
beautifully,0.07,sentibignomics_x0.1
beautify,0.05,sentibignomics_x0.1
beauty,0.055,sentibignomics_x0.1
becalm,0.0,sentibignomics_x0.1
because,0.0,sentibignomics_x0.1
become,0.0,sentibignomics_x0.1
bed,0.0,sentibignomics_x0.1
bedevil,-0.025,sentibignomics_x0.1
bedfellow,0.0,sentibignomics_x0.1
beefy,0.05,sentibignomics_x0.1
befall,-0.035,sentibignomics_x0.1
befit,0.03,sentibignomics_x0.1
begrudge,-0.04,sentibignomics_x0.1
beguiling,0.0,sentibignomics_x0.1
behave,0.045,sentibignomics_x0.1
beholden,0.0,sentibignomics_x0.1
belated,-0.01,sentibignomics_x0.1
belch,-0.025,sentibignomics_x0.1
beleaguered,-0.035,sentibignomics_x0.1
belie,-0.05,sentibignomics_x0.1
believable,0.055,sentibignomics_x0.1
believe,0.025,sentibignomics_x0.1
belittle,-0.045,sentibignomics_x0.1
belligerent,-0.05,sentibignomics_x0.1
bellow,-0.02,sentibignomics_x0.1
bellwether,0.0,sentibignomics_x0.1
belonging,0.01,sentibignomics_x0.1
beloved,0.06,sentibignomics_x0.1
bemoan,-0.015,sentibignomics_x0.1
